timestamp	url	status	bytes	depth	priority	domain	domain_count	superdomain	super_count	elapsed_ms	ct	t_connect_ms	t_read_ms	t_parse_ms	links_found	links_enqueued	html_truncated
2025-09-28 08:34:09	https://www.timesofindia.com/	200	131072	0	-0.001300	www.timesofindia.com	1	timesofindia.com	1	761	text/html; charset=utf-8	639	122	21	195	195	1
2025-09-28 08:34:10	https://timesofindia.indiatimes.com/	200	131072	1	0.998700	timesofindia.indiatimes.com	3	indiatimes.com	4	408	text/html; charset=utf-8	302	106	20	194	96	1
2025-09-28 08:34:10	https://timesofindia.indiatimes.com/us	200	131072	1	0.998700	timesofindia.indiatimes.com	3	indiatimes.com	4	559	text/html; charset=utf-8	447	112	21	194	95	1
2025-09-28 08:34:10	https://navbharattimes.indiatimes.com/	200	131072	1	0.998700	navbharattimes.indiatimes.com	1	indiatimes.com	4	521	text/html	343	178	18	214	207	1
2025-09-28 08:34:11	https://marathi.indiatimes.com/	200	131072	1	0.998700	marathi.indiatimes.com	1	indiatimes.com	5	676	text/html	569	106	10	170	163	1
2025-09-28 08:34:11	https://tamil.samayam.com/	404	0	1	0.998700	tamil.samayam.com	1	samayam.com	1	337		0	0	0	0	0	0
2025-09-28 08:34:11	https://bangla.indiatimes.com/	404	0	1	0.998700	bangla.indiatimes.com	1	indiatimes.com	6	208		0	0	0	0	0	0
2025-09-28 08:34:11	https://timesofindia.indiatimes.com/?loc=in	200	131072	1	0.998700	timesofindia.indiatimes.com	3	indiatimes.com	6	2085	text/html; charset=utf-8	1721	363	7	62	2	1
2025-09-28 08:34:12	https://malayalam.samayam.com/	404	0	1	0.998700	malayalam.samayam.com	1	samayam.com	3	302		0	0	0	0	0	0
2025-09-28 08:34:12	https://telugu.samayam.com/	404	0	1	0.998700	telugu.samayam.com	1	samayam.com	3	262		0	0	0	0	0	0
2025-09-28 08:34:12	https://timesofindia.indiatimes.com/city/visakhapatnam	200	131072	1	0.998700	timesofindia.indiatimes.com	86	indiatimes.com	89	430	text/html; charset=utf-8	278	152	17	206	119	1
2025-09-28 08:34:12	https://timesofindia.indiatimes.com/sports	200	131072	1	0.998700	timesofindia.indiatimes.com	86	indiatimes.com	89	494	text/html; charset=utf-8	302	192	17	145	129	1
2025-09-28 08:34:12	https://timesofindia.indiatimes.com/city/goa	200	131072	1	0.998700	timesofindia.indiatimes.com	86	indiatimes.com	89	544	text/html; charset=utf-8	321	223	14	251	163	1
2025-09-28 08:34:12	https://timesofindia.indiatimes.com/city/indore	200	131072	1	0.998700	timesofindia.indiatimes.com	86	indiatimes.com	89	566	text/html; charset=utf-8	342	224	13	248	160	1
2025-09-28 08:34:12	https://timesofindia.indiatimes.com/city/madurai	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	651	text/html; charset=utf-8	354	297	13	219	132	1
2025-09-28 08:34:12	https://timesofindia.indiatimes.com/city/srinagar	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	663	text/html; charset=utf-8	380	283	11	222	134	1
2025-09-28 08:34:12	https://timesofindia.indiatimes.com/city/mysore	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	677	text/html; charset=utf-8	319	358	10	256	168	1
2025-09-28 08:34:12	https://timesofindia.indiatimes.com/city/amaravati	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	708	text/html; charset=utf-8	396	312	9	205	118	1
2025-09-28 08:34:12	https://timesofindia.indiatimes.com/etimes	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	709	text/html; charset=utf-8	387	322	7	94	88	1
2025-09-28 08:34:12	https://timesofindia.indiatimes.com/city/navi-mumbai	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	721	text/html; charset=utf-8	394	326	9	230	142	1
2025-09-28 08:34:12	https://timesofindia.indiatimes.com/city/meerut	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	730	text/html; charset=utf-8	387	343	8	196	109	1
2025-09-28 08:34:12	https://timesofindia.indiatimes.com/business	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	735	text/html; charset=utf-8	391	344	6	88	73	1
2025-09-28 08:34:12	https://timesofindia.indiatimes.com/city/noida	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	755	text/html; charset=utf-8	396	358	9	250	162	1
2025-09-28 08:34:12	https://timesofindia.indiatimes.com/city/guwahati	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	766	text/html; charset=utf-8	401	356	8	242	154	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/city/shimla	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	813	text/html; charset=utf-8	424	389	9	230	142	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/india	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	827	text/html; charset=utf-8	461	366	10	251	229	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/flashreads	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	838	text/html	455	383	0	2	0	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/city/imphal	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	844	text/html; charset=utf-8	466	377	15	239	151	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/city/web-stories	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	845	text/html; charset=utf-8	455	383	12	236	148	1
2025-09-28 08:34:13	https://www.iamgujarat.com/	200	131072	1	0.998700	www.iamgujarat.com	1	iamgujarat.com	1	937	text/html	527	410	5	75	67	1
2025-09-28 08:34:13	https://vijaykarnataka.com/	200	131072	1	0.998700	vijaykarnataka.com	1	vijaykarnataka.com	1	2326	text/html	1982	344	8	172	165	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/sports/cricket	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	1029	text/html; charset=utf-8	893	136	11	123	102	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/city/photos	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	1049	text/html; charset=utf-8	914	135	12	290	190	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/city/chandigarh	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	1219	text/html; charset=utf-8	1082	137	9	170	84	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/city/delhi	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	1284	text/html; charset=utf-8	1142	142	11	184	98	1
2025-09-28 08:34:13	https://timesclub.app.link/abound	200	8535	1	0.998700	timesclub.app.link	1	app.link	1	302	text/html; charset=utf-8	302	0	0	2	2	0
2025-09-28 08:34:13	https://photogallery.indiatimes.com/	200	131072	1	0.998700	photogallery.indiatimes.com	1	indiatimes.com	91	779	text/html;charset=UTF-8	572	207	12	152	146	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/city/ghaziabad	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	1420	text/html; charset=utf-8	1182	238	12	184	98	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/life-style	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	1455	text/html;charset=UTF-8	1184	271	8	107	100	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/city/ahmedabad	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	1479	text/html; charset=utf-8	1200	279	11	187	100	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/city/ludhiana	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	1527	text/html; charset=utf-8	1211	310	11	244	156	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/city/amritsar	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	1525	text/html; charset=utf-8	1207	318	22	217	130	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/city/ajmer	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	1584	text/html; charset=utf-8	1230	354	11	221	134	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/city/surat	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	1677	text/html; charset=utf-8	1234	442	15	239	151	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/city/jaipur	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	1696	text/html; charset=utf-8	1256	437	11	228	140	1
2025-09-28 08:34:13	https://timesofindia.indiatimes.com/city/salem	200	131072	1	0.998700	timesofindia.indiatimes.com	87	indiatimes.com	91	1706	text/html; charset=utf-8	1258	448	10	215	128	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/allahabad	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	1802	text/html; charset=utf-8	1288	513	13	256	168	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/weather	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	1842	text/html; charset=utf-8	1334	508	17	423	411	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/thane	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	1908	text/html; charset=utf-8	1323	585	11	186	100	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/jammu	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	1923	text/html; charset=utf-8	1395	528	11	230	141	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/blogs	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	1356	text/html; charset=utf-8	762	594	5	59	58	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/gurgaon	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	1987	text/html; charset=utf-8	1396	591	11	235	146	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/trichy	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2005	text/html; charset=utf-8	1428	577	10	223	135	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/world	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2015	text/html; charset=utf-8	1429	586	10	143	122	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/thiruvananthapuram	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2027	text/html; charset=utf-8	1415	612	9	231	141	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/hyderabad	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2060	text/html; charset=utf-8	1465	595	8	175	89	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/cuttack	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2068	text/html; charset=utf-8	1501	567	9	237	147	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/nashik	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2099	text/html; charset=utf-8	1359	740	9	197	109	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/nagpur	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2109	text/html; charset=utf-8	1519	590	9	231	141	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/faridabad	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2129	text/html; charset=utf-8	1546	583	9	225	134	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/kolhapur	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2136	text/html; charset=utf-8	1544	592	7	189	101	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/udaipur	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2159	text/html; charset=utf-8	1653	506	7	223	131	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/bangalore	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2149	text/html; charset=utf-8	1661	488	27	183	92	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/lucknow	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2150	text/html; charset=utf-8	1654	489	23	178	94	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/kanpur	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2174		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/puducherry	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2172		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/dehradun	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2176		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/aurangabad	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2159	text/html; charset=utf-8	1740	419	20	269	170	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/technology	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2172		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/chennai	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2188		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/bareilly	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2187		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/kochi	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2183		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/pune	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2181		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/bhopal	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2186		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/rajkot	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2181	text/html; charset=utf-8	1655	526	7	240	21	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/coimbatore	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2179	text/html; charset=utf-8	1752	427	15	206	1	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/auto	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2193		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/jamshedpur	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2198		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/agra	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2202		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/kozhikode	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2198	text/html; charset=utf-8	1707	491	7	241	21	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/bhubaneswar	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2209		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/agartala	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2210	text/html; charset=utf-8	1661	541	7	240	21	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/vadodara	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2210		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/varanasi	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2210	text/html; charset=utf-8	1545	665	7	197	0	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/patna	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2219		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/mangalore	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2226		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2227	text/html; charset=utf-8	1714	513	7	182	5	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/jodhpur	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2228		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/erode	0	0	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2230		0	0	0	0	0	0
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/ranchi	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2231	text/html; charset=utf-8	1779	452	7	233	21	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/shillong	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2246	text/html; charset=utf-8	1761	485	7	241	21	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/hubli	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2262	text/html; charset=utf-8	1765	497	8	255	21	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/itanagar	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2269	text/html; charset=utf-8	1795	466	7	243	21	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/vijayawada	200	131072	1	0.998700	timesofindia.indiatimes.com	94	indiatimes.com	98	2304	text/html; charset=utf-8	1881	422	8	231	18	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/raipur	200	131072	1	0.998700	timesofindia.indiatimes.com	123	indiatimes.com	127	2327	text/html; charset=utf-8	1966	361	9	243	21	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/mumbai	200	131072	1	0.998700	timesofindia.indiatimes.com	123	indiatimes.com	127	2386	text/html; charset=utf-8	2115	271	8	175	0	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/kohima	200	131072	1	0.998700	timesofindia.indiatimes.com	123	indiatimes.com	127	2390	text/html; charset=utf-8	2080	310	9	255	21	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/city/kolkata	200	131072	1	0.998700	timesofindia.indiatimes.com	123	indiatimes.com	127	2406	text/html; charset=utf-8	2068	338	8	193	0	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/life-style/relationships/family/75-national-daughters-day-messages-greetings-wishes-greetings-card-whatsapp-status-images-pictures-and-quotes-for-2025/articleshow/124188278.cms	200	131072	1	0.998700	timesofindia.indiatimes.com	123	indiatimes.com	127	689	text/html	456	233	3	41	1	1
2025-09-28 08:34:14	https://timesofindia.indiatimes.com/toidialogues/dehradun2025?utm_source=TOI&utm_medium=L2&utm_campaign=toidialogues	200	39193	1	0.998700	timesofindia.indiatimes.com	123	indiatimes.com	127	707	text/html;charset=UTF-8	634	73	1	8	3	0
